ENTRY,AEL VRH bulk modulus,atomic formation enthalpy,space group,Pearson symbol,DATA
Al4Ho2 [7c85a4cf96c49ebd],80.4667,-0.518444,227 - Fd3m,cF24,"[API, Out, JSON ]"
Al4Ho8 [6b114b9ffe1ba9ba],57.4884,-0.300736,62 - Pnma,oP12,"[API, Out, JSON ]"
Al4Li4 [8f7dba7946e36954],36.9949,-0.0977601,194 - P63/mmc,hP8,"[API, Out, JSON ]"
Al4Li4O8 [7f1f3925499b0adb],92.3859,-2.96182,92 - P41212,tP16,"[API, Out, JSON ]"
Al4Mg2O8 [2ff88bd13c202825],183.639,-3.23624,227 - Fd3m,cF56,"[API, Out, JSON ]"
Al4Mg2O8 [d957de87b15d4247],195.544,-3.12804,63 - Cmcm,oS28,"[API, Out, JSON ]"
Al4O10Si2 [38146938a7b4dba5],215.252,-3.11378,63 - Cmcm,oS32,"[API, Out, JSON ]"
Al4O12Y4 [4792c39561f6d200],190.647,-3.57529,62 - Pnma,oP20,"[API, Out, JSON ]"
Al4O8Pb2 [9ff5a3a14dbd891b],66.9038,-2.75577,40 - Ama2,oS28,"[API, Out, JSON ]"
Al4Se8Sr2 [02c8bb19af7a55da],30.0517,-1.27407,66 - Cccm,oS28,"[API, Out, JSON ]"
Al4Sr2 [2889a5ebc0c660e7],48.0667,-0.256035,227 - Fd3m,cF24,"[API, Out, JSON ]"
Al4Y2 [54a813a47d2a272b],80.2778,-0.534161,227 - Fd3m,cF24,"[API, Out, JSON ]"
Al4Y8 [a99a4e29778fe125],52.9926,-0.316525,62 - Pnma,oP12,"[API, Out, JSON ]"
Al5Ca5Si5 [fadae3ba34adcebe],55.4562,-0.388984,187 - P6m2,hP15,"[API, Out, JSON ]"
Al6C2Zr10 [4f808281378ad03c],105.679,-0.508528,193 - P63/mcm,hP18,"[API, Out, JSON ]"
Al6C6Ho2 [b7f9a01d5542a9e7],159.593,-0.308994,194 - P63/mmc,hP14,"[API, Out, JSON ]"
Al6C6Y2 [fc20c1baececd8b9],157.318,-0.292853,194 - P63/mmc,hP14,"[API, Out, JSON ]"
Al6C8Hf4 [55cd6688d0177c7e],196.517,-0.497193,194 - P63/mmc,hP18,"[API, Out, JSON ]"
Al6C8Zr4 [24e4050ed5191b98],188.68,-0.459016,194 - P63/mmc,hP18,"[API, Out, JSON ]"
Al6Ca6Si6 [92fd0d9d27e7cc56],56.7437,-0.387291,186 - P63mc,hP18,"[API, Out, JSON ]"
Al6Hf2 [06d78e7954a45ded],106.07,-0.396345,139 - I4/mmm,tI16,"[API, Out, JSON ]"
Al6Zr2 [4f2db5248958cd2a],103.822,-0.487699,139 - I4/mmm,tI16,"[API, Out, JSON ]"
Al8Ba4Ge8 [e68c32e71fefa9f0],52.2293,-0.398701,62 - Pnma,oP20,"[API, Out, JSON ]"
Al8Ba4Si8 [d5f8ae327ad270d9],57.2479,-0.296768,62 - Pnma,oP20,"[API, Out, JSON ]"
Al8C2O8 [e285be3c92c9b42d],129.172,-2.48822,36 - Cmc21,oS36,"[API, Out, JSON ]"
Al8C8Si2 [e848922840b1944a],156.225,0.104128,186 - P63mc,hP18,"[API, Out, JSON ]"
Al8Hf12 [867e6f10a28bcc96],115.997,-0.329863,136 - P42/mnm,tP20,"[API, Out, JSON ]"
Al8Hf4 [c18d6aeb85f16ed5],119.268,-0.443422,194 - P63/mmc,hP12,"[API, Out, JSON ]"
Al8Ho12 [3e889b2ebbefdb97],60.4354,-0.333131,136 - P42/mnm,tP20,"[API, Out, JSON ]"
Al8Mg4 [7ae8cfbe27c1265d],57.7423,0.00166783,141 - I41/amd,tI24,"[API, Out, JSON ]"
Al8O12 [c9b85a6eb23d3036],230.698,-3.18738,60 - Pbcn,oP20,"[API, Out, JSON ]"
Al8O20Si4 [4614a2f5cd447ca6],144.014,-3.22222,58 - Pnnm,oP32,"[API, Out, JSON ]"
Al8Sb8 [206f48cebe73b76f],48.7593,-0.167728,205 - Pa3,cP16,"[API, Out, JSON ]"
Al8Y12 [33853d302c8aeea7],58.1696,-0.358132,136 - P42/mnm,tP20,"[API, Out, JSON ]"
Al8Zr10 [d53254a247baa5b7],101.079,-0.41895,193 - P63/mcm,hP18,"[API, Out, JSON ]"
Al8Zr12 [a659f3fa4217743a],104.28,-0.401786,136 - P42/mnm,tP20,"[API, Out, JSON ]"
