ENTRY,AEL VRH bulk modulus,atomic formation enthalpy,space group,Pearson symbol,DATA
Be1O1 [c316b8d2b8b69038],241.178,-2.49808,225 - Fm3m,cF8,"[API, Out, JSON ]"
Be1Se1 [213c549ca0805a87],87.95,-0.254636,225 - Fm3m,cF8,"[API, Out, JSON ]"
Be1Se1 [ac6b5aceace8d8aa],74.8944,-0.797927,216 - F43m,cF8,"[API, Out, JSON ]"
Be1Te1 [9c841f4bebd25fd6],56.5556,-0.358506,216 - F43m,cF8,"[API, Out, JSON ]"
Be1Te1 [71f2b452c887d0bd],66.7111,0.151563,225 - Fm3m,cF8,"[API, Out, JSON ]"
Be24P16 [473d6cf16feebd74],91.7833,-0.266228,206 - Ia3,cI80,"[API, Out, JSON ]"
Be26Ca2 [ae212ec034e7c653],94.9278,-0.0950912,226 - Fm3c,cF112,"[API, Out, JSON ]"
Be26Hf2 [0bdcb21b070ee9c8],125.944,-0.173177,226 - Fm3c,cF112,"[API, Out, JSON ]"
Be26Ho2 [e3977bd14545293c],112.861,-0.18517,226 - Fm3c,cF112,"[API, Out, JSON ]"
Be26Mg2 [a513c57b276194cc],98.7111,0.000903357,226 - Fm3c,cF112,"[API, Out, JSON ]"
Be26Sb2 [bcffe2cd231ff59a],100.278,0.143635,226 - Fm3c,cF112,"[API, Out, JSON ]"
Be26Sr2 [d73b0934ea26239d],94.7722,-0.0480165,226 - Fm3c,cF112,"[API, Out, JSON ]"
Be26Zr2 [286acac732fe4ad8],123.939,-0.195618,226 - Fm3c,cF112,"[API, Out, JSON ]"
Be2C1 [378e092c24555651],207.489,-0.23265,225 - Fm3m,cF12,"[API, Out, JSON ]"
Be2Hf1 [ba24c7d4fdf2198e],128.212,-0.169047,191 - P6/mmm,hP3,"[API, Out, JSON ]"
Be2Hf2 [6fd30ea64b36137a],121.158,-0.076578,63 - Cmcm,oS8,"[API, Out, JSON ]"
Be2Hf2Si2 [40fc12ea1012ee6e],146.714,-0.655594,194 - P63/mmc,hP6,"[API, Out, JSON ]"
Be2Li2P2 [3d6a13a697be6ee5],62.7814,-0.611066,129 - P4/nmm,tP6,"[API, Out, JSON ]"
Be2Li2Sb2 [35246e62d761d918],55.3101,-0.325056,186 - P63mc,hP6,"[API, Out, JSON ]"
Be2Na2Sb2 [469d710a3c8090f4],35.177,-0.250497,194 - P63/mmc,hP6,"[API, Out, JSON ]"
Be2O2 [ed51b7b3938f117f],205.991,-2.97996,186 - P63mc,hP4,"[API, Out, JSON ]"
Be2Si1 [de5897093b42c24b],98.7278,0.237991,225 - Fm3m,cF12,"[API, Out, JSON ]"
Be2Zr1 [8e9c46d490db8bb3],119.782,-0.163506,191 - P6/mmm,hP3,"[API, Out, JSON ]"
Be4O4 [c8cff231c8082848],196.372,-2.96793,136 - P42/mnm,tP8,"[API, Out, JSON ]"
Be5Hf1 [9935daabda2d9ae8],129.435,-0.227008,191 - P6/mmm,hP6,"[API, Out, JSON ]"
Be6Cl12 [7d8a11e29070e58c],11.6333,-1.42247,217 - I43m,cI36,"[API, Out, JSON ]"
Be6P4 [0b01214ece74b40a],99.75,-0.110329,224 - Pn3m,cP10,"[API, Out, JSON ]"
Bi1 [27bbd51ad4827863],49.4889,0.041072,221 - Pm3m,cP1,"[API, Out, JSON ]"
Bi1 [4ff91c1735e07aab],54.6389,0.129588,229 - Im3m,cI2,"[API, Out, JSON ]"
Bi16O24 [7f08b280bb028857],109.979,-1.4347,206 - Ia3,cI80,"[API, Out, JSON ]"
Bi1Ho1 [7239eb435c5ec897],54.5889,-0.861246,225 - Fm3m,cF8,"[API, Out, JSON ]"
Bi1K3 [6480d7dbdcd7b044],12.2389,-0.365149,225 - Fm3m,cF16,"[API, Out, JSON ]"
Bi1Li1 [d80a8198ef249337],37.2932,-0.382143,123 - P4/mmm,tP2,"[API, Out, JSON ]"
Bi1Li1Mg1 [5a8e615d2ad336d3],31.5889,-0.428658,216 - F43m,cF12,"[API, Out, JSON ]"
Bi1Li3 [a347088e4932106b],28.2111,-0.544817,225 - Fm3m,cF16,"[API, Out, JSON ]"
Bi1Na1 [d3618ed7c3ce4ee7],30.3974,-0.313636,123 - P4/mmm,tP2,"[API, Out, JSON ]"
Bi1O2 [bfbbeb6a9f7e7f5a],132.906,-1.1886,225 - Fm3m,cF12,"[API, Out, JSON ]"
Bi1Rb3 [fb1260e490372a33],9.93889,-0.316356,225 - Fm3m,cF16,"[API, Out, JSON ]"
Bi1Y1 [c526fe4983dfcffa],55.4333,-0.916092,225 - Fm3m,cF8,"[API, Out, JSON ]"
Bi2Ca4 [7e9e20be4dc29b40],27.6617,-0.776018,139 - I4/mmm,tI12,"[API, Out, JSON ]"
Bi2K6 [fdd69cc63d2a62b8],10.4428,-0.387487,194 - P63/mmc,hP8,"[API, Out, JSON ]"
Bi2O2Se1 [bd39fcd8abd8e251],77.3104,-1.15837,139 - I4/mmm,tI10,"[API, Out, JSON ]"
Bi2Rb6 [e9d97f4d81711a66],9.55761,-0.344507,194 - P63/mmc,hP8,"[API, Out, JSON ]"
Bi3Sr1 [e5db61fa74861990],44.9444,-0.452,221 - Pm3m,cP4,"[API, Out, JSON ]"
Bi4 [fadf792d7b321127],310.346,0.194242,140 - I4/mcm,tI8,"[API, Out, JSON ]"
Bi4K12Se12 [c254a1e890738c41],13.2031,-0.965835,198 - P213,cP28,"[API, Out, JSON ]"
Bi4K12Te12 [1b77bae9c459f82a],10.2746,-0.801152,198 - P213,cP28,"[API, Out, JSON ]"
Bi4Li4Sr4 [74cc6b30d40d1940],29.9502,-0.847318,62 - Pnma,oP12,"[API, Out, JSON ]"
Bi4Mg2O12 [71f18f0157cf2698],120.283,-1.56009,136 - P42/mnm,tP18,"[API, Out, JSON ]"
Bi4O12Rb12 [7219f844dcd3bc96],15.7753,-1.53459,198 - P213,cP28,"[API, Out, JSON ]"
Bi4O6 [c61260c70de2d745],116.872,-1.1314,224 - Pn3m,cP10,"[API, Out, JSON ]"
Bi4Rb12Se12 [13aa186ae78de3e3],11.4072,-0.956665,198 - P213,cP28,"[API, Out, JSON ]"
Bi6Sr8 [a6f93590c6fb4a35],29.5333,-0.896906,220 - I43d,cI28,"[API, Out, JSON ]"
Bi8O12 [dfaa12a3d112d79d],27.0722,-1.4375,227 - Fd3m,cF80,"[API, Out, JSON ]"
Br10Pb4Rb2 [898a956acbc9af99],13.3059,-1.18315,140 - I4/mcm,tI32,"[API, Out, JSON ]"
Br12K4Te2 [90e130206cc7a035],8.85281,-1.06449,128 - P4/mnc,tP18,"[API, Out, JSON ]"
Br1K1 [e02e6c6748e87324],13.8278,-1.79231,225 - Fm3m,cF8,"[API, Out, JSON ]"
Br1K1 [9388b0cb77be29c5],17.15,-1.71627,221 - Pm3m,cP2,"[API, Out, JSON ]"
Br1K3O1 [037bff19ad42b82f],19.2167,-1.43923,221 - Pm3m,cP5,"[API, Out, JSON ]"
Br1Li1 [20b64628cf74cb53],26.1611,-1.56859,225 - Fm3m,cF8,"[API, Out, JSON ]"
Br1Li3O1 [89e3341519d5b3c3],48.9389,-1.78875,221 - Pm3m,cP5,"[API, Out, JSON ]"
Br1Na1 [81af8c617774153e],20.5333,-1.60729,225 - Fm3m,cF8,"[API, Out, JSON ]"
Br1O1Rb3 [d8062a4e068bf5b6],16.4389,-1.36535,221 - Pm3m,cP5,"[API, Out, JSON ]"
Br1Rb1 [9e643376d04eba9f],12.5667,-1.79542,225 - Fm3m,cF8,"[API, Out, JSON ]"
Br1Rb1 [bb569b66afa76188],14.3,-1.74003,221 - Pm3m,cP2,"[API, Out, JSON ]"
Br1Tl1 [446e47ea5b60293f],16.4611,-0.906238,225 - Fm3m,cF8,"[API, Out, JSON ]"
Br1Tl1 [c6d52ea37eb98db2],20.7944,-0.860814,221 - Pm3m,cP2,"[API, Out, JSON ]"
Br2O8Y6 [6925b566a277f79d],103.299,-3.54608,63 - Cmcm,oS32,"[API, Out, JSON ]"
Br2Se4Tl10 [3e3c1d40063cad82],20.2106,-0.504547,140 - I4/mcm,tI32,"[API, Out, JSON ]"
Br2Tl2 [c01b5c54b0863da2],14.9713,-0.883154,63 - Cmcm,oS8,"[API, Out, JSON ]"
Br32Si8 [d2a45d24273ee835],0.666667,-0.869087,205 - Pa3,cP40,"[API, Out, JSON ]"
Br4 [8e7ba568a475142c],4.69922,-0.039555,64 - Cmce,oS8,"[API, Out, JSON ]"
Br4Ca2 [fdbd47d5f13e4755],26.1559,-2.07839,136 - P42/mnm,tP6,"[API, Out, JSON ]"
Br4Na4O12 [ec746eef1975aa25],25.0933,-0.865619,198 - P213,cP20,"[API, Out, JSON ]"
Br4Na4O12 [ef261ad7b35866a4],27.4095,-0.866196,198 - P213,cP20,"[API, Out, JSON ]"
Br4Na4O12 [b454313ab1a5628f],25.365,-0.866164,198 - P213,cP20,"[API, Out, JSON ]"
Br6K2Se1 [8f493eb9dacbdea3],10.85,-0.929986,225 - Fm3m,cF36,"[API, Out, JSON ]"
Br6K2Te1 [67e6bb73871b7087],10.4389,-1.05197,225 - Fm3m,cF36,"[API, Out, JSON ]"
Br6Rb2Te1 [496fbc63b1ffb8e4],9.12778,-1.09214,225 - Fm3m,cF36,"[API, Out, JSON ]"
Br8Li6Mg1 [ddee48f6f9bf413e],23.0111,-1.56349,225 - Fm3m,cF60,"[API, Out, JSON ]"
Br9Rb3Sb2 [15bf2c0b12f94d87],10.0446,-1.22175,164 - P3m1,hP14,"[API, Out, JSON ]"
C10Si10 [500ca05581547ef1],212.965,-0.207608,156 - P3m1,hP20,"[API, Out, JSON ]"
C12 [bd79f9fa8154aa95],435.03,0.137013,194 - P63/mmc,hP12,"[API, Out, JSON ]"
C12 [4a8db6076bc9623d],81.2161,-0.000156,194 - P63/mmc,hP12,"[API, Out, JSON ]"
C14Si14 [1f21e330dfcd0965],212.846,-0.20755,156 - P3m1,hP28,"[API, Out, JSON ]"
C16 [c9d6a8b917d502f0],434.908,0.135533,194 - P63/mmc,hP16,"[API, Out, JSON ]"
C16 [d8e58d3bd84cf982],401.533,0.285175,62 - Pnma,oP16,"[API, Out, JSON ]"
C16Si16 [bbef4567d359bebd],213.261,-0.207618,186 - P63mc,hP32,"[API, Out, JSON ]"
C18Si18 [c9df5d1184d1640f],213.322,-0.207614,156 - P3m1,hP36,"[API, Out, JSON ]"
C19Si19 [dcff963bbddaf43f],212.889,-0.207612,156 - P3m1,hP38,"[API, Out, JSON ]"
C1Ge1 [279b6e0ce01db4e4],176.45,0.451001,216 - F43m,cF8,"[API, Out, JSON ]"
C1Ge1 [8fea397ef68c9f59],164.558,1.28334,225 - Fm3m,cF8,"[API, Out, JSON ]"
C1Hf1 [29c35aa38b84cf85],158.306,-0.303342,216 - F43m,cF8,"[API, Out, JSON ]"
C1Hf1 [b47a366c761301a7],239.433,-0.947442,225 - Fm3m,cF8,"[API, Out, JSON ]"
C1Ho3Tl1 [3e164407c8b6a96b],41.4944,1.61208,221 - Pm3m,cP5,"[API, Out, JSON ]"
C1Li4O4 [c1a0b04a38cc2cb8],70.5525,-1.93258,121 - I42m,tI18,"[API, Out, JSON ]"
C1Na4O4 [5fd7303c36d270a3],30.5722,-1.45655,215 - P43m,cP9,"[API, Out, JSON ]"
C1Na4O4 [9ff6e80371443b80],46.7906,-1.62429,121 - I42m,tI18,"[API, Out, JSON ]"
C1Pb1Y3 [852a2ce545d87e53],43.0611,-0.57418,221 - Pm3m,cP5,"[API, Out, JSON ]"
C1Si1 [2cab0c35952c733f],212.356,-0.206972,216 - F43m,cF8,"[API, Out, JSON ]"
C1Si1 [0e5c7dd4d4402dff],242.211,0.535778,225 - Fm3m,cF8,"[API, Out, JSON ]"
C1Tl1 [becbc8b7468a7e42],85.1167,2.10451,225 - Fm3m,cF8,"[API, Out, JSON ]"
C1Tl1Y3 [ff2e821a5a105eeb],77.3389,-0.495504,221 - Pm3m,cP5,"[API, Out, JSON ]"
C1Y1 [10e56bff43e34aa4],124.4,0.037273,225 - Fm3m,cF8,"[API, Out, JSON ]"
C1Y1 [d1d764ad10d0eb67],83.1167,0.490035,216 - F43m,cF8,"[API, Out, JSON ]"
C1Zr1 [b652e182b2677f30],220.867,-0.812099,225 - Fm3m,cF8,"[API, Out, JSON ]"
C1Zr1 [05e1e26d2863644d],145.533,-0.19718,216 - F43m,cF8,"[API, Out, JSON ]"
C2 [3ab7e139e1c29c9f],433.989,0.132041,227 - Fd3m,cF8,"[API, Out, JSON ]"
C20 [933c788c45a7fb66],332.972,0.758971,221 - Pm3m,cP20,"[API, Out, JSON ]"
C21Si21 [1cf77fe9d7170820],212.742,-0.207545,156 - P3m1,hP42,"[API, Out, JSON ]"
C2Ca2O6 [c703b43d6ea64c82],59.191,-2.49472,40 - Ama2,oS20,"[API, Out, JSON ]"
C2Ho1 [1e5413f968afa354],119.045,-0.200211,139 - I4/mmm,tI6,"[API, Out, JSON ]"
C2K8O8 [58922299f89bc347],34.5463,-1.56461,86 - P42/n,tP18,"[API, Out, JSON ]"
C2Li4O6 [b1fcd31e74f48b03],75.0705,-2.05902,193 - P63/mcm,hP12,"[API, Out, JSON ]"
C2O4 [8014ecff6d78dc91],143.333,-1.15395,122 - I42d,tI12,"[API, Out, JSON ]"
C2O4 [162f8798181bf4d9],5.18262,-1.59251,136 - P42/mnm,tP6,"[API, Out, JSON ]"
C2Si2 [19570f9ac6a9e4de],213.095,-0.204037,186 - P63mc,hP4,"[API, Out, JSON ]"
C2Tl2Zr4 [5a8c11a2c4607835],115.168,-0.629055,194 - P63/mmc,hP8,"[API, Out, JSON ]"
C2Y1 [b6c018d7d6d960a8],112.619,-0.190856,139 - I4/mmm,tI6,"[API, Out, JSON ]"
C4 [b2688e84030188b8],402.27,0.327823,139 - I4/mmm,tI8,"[API, Out, JSON ]"
C4 [440c4eee274b61b6],429.108,0.155743,194 - P63/mmc,hP4,"[API, Out, JSON ]"
C4 [2be120d88682ee01],112.896,-0.0003725,194 - P63/mmc,hP4,"[API, Out, JSON ]"
C4Mg2 [f5f78826aac5f3d0],77.8056,0.427624,136 - P42/mnm,tP6,"[API, Out, JSON ]"
C4O12Sr4 [35099e599e89dc40],56.4738,-2.55283,62 - Pnma,oP20,"[API, Out, JSON ]"
C4O8 [67b5e7f9d47704b0],4.03889,-1.60779,205 - Pa3,cP12,"[API, Out, JSON ]"
C4Si4 [19345a101fc7f670],213.155,-0.207603,186 - P63mc,hP8,"[API, Out, JSON ]"
C60K6 [1984611e297ae73e],30.1122,0.215728,204 - Im3,cI132,"[API, Out, JSON ]"
C60Rb6 [4c15d7310c6901e3],24.985,0.208468,204 - Im3,cI132,"[API, Out, JSON ]"
C60Sr6 [0cbec882fb6cac14],78.8767,0.202094,204 - Im3,cI132,"[API, Out, JSON ]"
C6Si6 [059e25f57cc58053],212.703,-0.20762,186 - P63mc,hP12,"[API, Out, JSON ]"
C8 [a59baaad49eb5ab9],402.613,0.293305,12 - C2/m,mS16,"[API, Out, JSON ]"
C8 [b09fb2c5d1e939ca],288.018,0.502207,65 - Cmmm,oS16,"[API, Out, JSON ]"
C8 [bdc82cca41c811c6],415.697,0.260462,65 - Cmmm,oS16,"[API, Out, JSON ]"
C8 [2818acf274e5c078],310.589,0.758544,229 - Im3m,cI16,"[API, Out, JSON ]"
C8 [c969067f8a3bbde9],386.978,0.828338,206 - Ia3,cI16,"[API, Out, JSON ]"
C8 [c42dc8ec018245e5],435.267,0.140273,194 - P63/mmc,hP8,"[API, Out, JSON ]"
C8Na4 [8a7bedc037e80ee4],177.833,1.13007,212 - P4332,cP12,"[API, Out, JSON ]"
C8Na8 [ae0a4eccd0e65124],30.6999,0.221454,142 - I41/acd,tI32,"[API, Out, JSON ]"
C8Si4 [6d3e8219641e49de],179.82,0.847238,205 - Pa3,cP12,"[API, Out, JSON ]"
C8Si8 [6db975da951495ba],212.674,-0.207481,186 - P63mc,hP16,"[API, Out, JSON ]"
Ca1 [da235dae85798482],17.3889,0.000449,225 - Fm3m,cF4,"[API, Out, JSON ]"
Ca10Sb6 [da7bbf2f9ae5f54f],36.4109,-1.07871,193 - P63/mcm,hP16,"[API, Out, JSON ]"
Ca12Hg4 [ba487a3251dc68dc],21.8725,-0.307193,62 - Pnma,oP16,"[API, Out, JSON ]"
Ca16Hg36 [fe8eeb1e2af8df90],34.7056,-0.405699,215 - P43m,cP52,"[API, Out, JSON ]"
Ca1Hg1 [e1226cf0e66c1033],36.3444,-0.556392,221 - Pm3m,cP2,"[API, Out, JSON ]"
Ca1O1 [9bc8de62e0d0e0ea],105.217,-3.1856,225 - Fm3m,cF8,"[API, Out, JSON ]"
Ca1O2 [5c70e5ad4906e1a9],67.4331,-2.18332,139 - I4/mmm,tI6,"[API, Out, JSON ]"
Ca1O3Si1 [cc56846288079507],215.028,-3.05752,221 - Pm3m,cP5,"[API, Out, JSON ]"
Ca1O3Zr1 [26237603f1b44cd0],154.461,-3.33323,221 - Pm3m,cP5,"[API, Out, JSON ]"
Ca1Pb1 [92d8c47bba9fe7a3],33.7766,-0.526438,123 - P4/mmm,tP2,"[API, Out, JSON ]"
Ca1Se1 [b167bafb684ed8c2],32.6278,-1.77274,216 - F43m,cF8,"[API, Out, JSON ]"
Ca1Se1 [7a5d981a5d714afb],47.3222,-2.03116,225 - Fm3m,cF8,"[API, Out, JSON ]"
Ca1Te1 [f51506e74f2ec57e],37.4778,-1.65205,225 - Fm3m,cF8,"[API, Out, JSON ]"
Ca1Tl1 [e35047fade43799d],31.4889,-0.446581,221 - Pm3m,cP2,"[API, Out, JSON ]"
Ca1Tl3 [281507392358bbd6],38.1778,-0.238897,221 - Pm3m,cP4,"[API, Out, JSON ]"
Ca2Cl4 [8dfd0bb804eca9a6],32.3886,-2.41742,136 - P42/mnm,tP6,"[API, Out, JSON ]"
Ca2Ge4 [7617c14e76934d97],50.7354,-0.485769,186 - P63mc,hP6,"[API, Out, JSON ]"
Ca2Hg6 [a74b412faa7fdc81],36.4153,-0.391322,194 - P63/mmc,hP8,"[API, Out, JSON ]"
Ca2O2 [183e65e769b16a0a],85.7291,-3.1205,194 - P63/mmc,hP4,"[API, Out, JSON ]"
Ca2O6Si2 [cc315d932b359d19],214.883,-3.05787,127 - P4/mbm,tP10,"[API, Out, JSON ]"
Ca2O8Tl4 [93c414995740eb69],109.553,-1.58998,63 - Cmcm,oS28,"[API, Out, JSON ]"
Ca2Si1 [d42847d039d9c6d9],37.0111,-0.449371,225 - Fm3m,cF12,"[API, Out, JSON ]"
Ca2Si2 [92aeebce897e852d],53.8682,-0.540484,63 - Cmcm,oS8,"[API, Out, JSON ]"
Ca2Si4 [24502608294dc6bc],61.4176,-0.365609,141 - I41/amd,tI12,"[API, Out, JSON ]"
Ca3Cl3P1 [95667da7a1a06f6e],40.15,-2.03849,221 - Pm3m,cP7,"[API, Out, JSON ]"
Ca3Ge1O1 [717c612f7c2e23cd],58.5667,-1.65741,221 - Pm3m,cP5,"[API, Out, JSON ]"
Ca3Hg1 [d2bed74bc81630a5],23.8056,-0.193162,221 - Pm3m,cP4,"[API, Out, JSON ]"
Ca3O1Pb1 [b1acaa12b27a4ec1],51.2722,-1.65012,221 - Pm3m,cP5,"[API, Out, JSON ]"
Ca3Tl1 [50ba0e96d5272603],21.7444,-0.176904,225 - Fm3m,cF16,"[API, Out, JSON ]"
Ca4Cl8 [5ed02d9a45e81078],28.1042,-2.41686,60 - Pbcn,oP12,"[API, Out, JSON ]"
Ca4Ge4Mg4 [0ea2f481c2cf44d7],47.8437,-0.576814,62 - Pnma,oP12,"[API, Out, JSON ]"
Ca4Ge8Li4 [d730f802335716fc],43.4609,-0.516724,62 - Pnma,oP16,"[API, Out, JSON ]"
Ca4Li4Si8 [4105a79a30e78b58],48.8646,-0.410247,62 - Pnma,oP16,"[API, Out, JSON ]"
Ca4Mg4Si4 [d4a66226ac320e53],51.6156,-0.442341,62 - Pnma,oP12,"[API, Out, JSON ]"
Ca4Mg8 [bb7396f83a018dbb],30.3314,-0.123928,194 - P63/mmc,hP12,"[API, Out, JSON ]"
Ca4Mg8 [29a39cef1d9c1d1e],30.4974,-0.123897,194 - P63/mmc,hP12,"[API, Out, JSON ]"
Ca4O12Si4 [3fe9b288117abbf6],213.837,-3.05769,204 - Im3,cI40,"[API, Out, JSON ]"
Ca4O12Si4 [aba814a45970107d],213.851,-3.06044,62 - Pnma,oP20,"[API, Out, JSON ]"
Ca4O12Zr4 [4aa30a659beb47a0],150.068,-3.52566,62 - Pnma,oP20,"[API, Out, JSON ]"
Ca4O8Pb2 [829aca069b80de01],105.002,-2.41333,55 - Pbam,oP14,"[API, Out, JSON ]"
Ca4Pb4Sr4 [b5b4139aae6f9965],27.0474,-0.591804,62 - Pnma,oP12,"[API, Out, JSON ]"
Ca4Sb2 [ea9944c476b6a616],35.2138,-0.965481,139 - I4/mmm,tI12,"[API, Out, JSON ]"
Ca4Si12 [3895c112ae3a70bc],60.2061,-0.181551,139 - I4/mmm,tI32,"[API, Out, JSON ]"
Ca5P8 [cff1d3ae6b3f4da2],52.1905,-0.959241,12 - C2/m,mS26,"[API, Out, JSON ]"
Ca6Hg4 [89fa2dba45153d8c],31.2401,-0.473127,127 - P4/mbm,tP10,"[API, Out, JSON ]"
Ca6P6 [a2f519ee71e8f203],53.093,-1.13575,189 - P62m,hP12,"[API, Out, JSON ]"
Ca7Ge1 [4f2cacf7ff9a274e],19.35,-0.0105776,225 - Fm3m,cF32,"[API, Out, JSON ]"
Ca8Cl12O2 [305466170501fcd5],38.6551,-2.55894,186 - P63mc,hP22,"[API, Out, JSON ]"
Ca8Ge4 [44a95a3b698dde9c],36.3147,-0.619773,62 - Pnma,oP12,"[API, Out, JSON ]"
Ca8Pb4 [6dac966aaf0e3e8d],26.9385,-0.559158,62 - Pnma,oP12,"[API, Out, JSON ]"
Ca8Si4 [9785105a70a544e7],36.4155,-0.462743,62 - Pnma,oP12,"[API, Out, JSON ]"
Cl16Hg12O4 [0380bb5b899328b4],12.0611,-0.598511,198 - P213,cP32,"[API, Out, JSON ]"
Cl16Hg12O4 [60d3c7e3a655a006],13.1426,-0.598415,198 - P213,cP32,"[API, Out, JSON ]"
Cl16Hg12O4 [ee0d6c769a483b53],12.9538,-0.598607,198 - P213,cP32,"[API, Out, JSON ]"
Cl1K1 [28e41ffe3fada8e0],16.6639,-1.97549,225 - Fm3m,cF8,"[API, Out, JSON ]"
Cl1K1 [d5d8c218ad74d303],20.1444,-1.89571,221 - Pm3m,cP2,"[API, Out, JSON ]"
Cl1K1O4 [2db8da6c4b58612b],14.7,-0.887829,216 - F43m,cF24,"[API, Out, JSON ]"
Cl1Li1 [3d5c7e27f5a6cca6],32.0444,-1.82796,225 - Fm3m,cF8,"[API, Out, JSON ]"
Cl1Na1 [d0c93a9396dc599e],24.8944,-1.82527,225 - Fm3m,cF8,"[API, Out, JSON ]"
Cl1Na3O1 [d896b93f18da7085],34.6167,-1.55362,221 - Pm3m,cP5,"[API, Out, JSON ]"
Cl1O4Rb1 [8b5e77c3f863f92b],13.3722,-0.910407,216 - F43m,cF24,"[API, Out, JSON ]"
Cl1O4Tl1 [986d832938067b89],13.6278,-0.539583,216 - F43m,cF24,"[API, Out, JSON ]"
Cl1Rb1 [136ebce60ff4446b],14.3167,-1.96557,225 - Fm3m,cF8,"[API, Out, JSON ]"
Cl1Rb1 [5f88595ec1d952d0],16.6,-1.9036,221 - Pm3m,cP2,"[API, Out, JSON ]"
Cl1Tl1 [45bf324a62447cfb],18.4389,-1.03305,225 - Fm3m,cF8,"[API, Out, JSON ]"
Cl1Tl1 [4d76834a1fbcef1f],22.2778,-0.986217,221 - Pm3m,cP2,"[API, Out, JSON ]"
Cl2Hg2 [7854022399e235d4],12.9243,-0.558632,139 - I4/mmm,tI8,"[API, Out, JSON ]"
Cl2Mg1 [1966db47ed65d8c6],9.2777,-1.79528,115 - P4m2,tP3,"[API, Out, JSON ]"
Cl2O2Y2 [b47b7d37bc74f925],74.9141,-3.20154,129 - P4/nmm,tP6,"[API, Out, JSON ]"
Cl2Sr1 [bea65ca25419a241],33.6611,-2.50824,225 - Fm3m,cF12,"[API, Out, JSON ]"
Cl4K2Mg1 [88d04db0ca52280a],21.8829,-1.93591,139 - I4/mmm,tI14,"[API, Out, JSON ]"
Cl4Mg2 [be2eab8817d5e84f],36.0385,-1.68322,40 - Ama2,oS12,"[API, Out, JSON ]"
Cl4Na4O12 [a5b293c638b5e670],25.7593,-0.944848,198 - P213,cP20,"[API, Out, JSON ]"
Cl4Na4O12 [8ff7034f6bd9ca4c],23.7184,-0.945163,198 - P213,cP20,"[API, Out, JSON ]"
Cl6Pb1Rb2 [cd74964c563586e0],9.95556,-1.32345,225 - Fm3m,cF36,"[API, Out, JSON ]"
Cl6Rb2Se1 [ab1349bc362a4777],10.1889,-1.15123,225 - Fm3m,cF36,"[API, Out, JSON ]"
Cl6Rb2Te1 [2acdf816a1ae5c33],9,-1.29799,225 - Fm3m,cF36,"[API, Out, JSON ]"
Cl6Rb2Zr1 [ed428a902e5d41de],9.22778,-1.97331,225 - Fm3m,cF36,"[API, Out, JSON ]"
Cl6Te1Tl2 [2a65e95859e6391e],12.6167,-0.836362,225 - Fm3m,cF36,"[API, Out, JSON ]"
Cl8Mg2Na4 [81ee2ef7b606c650],26.0297,-1.84142,55 - Pbam,oP14,"[API, Out, JSON ]"
Ge1Hg1Li2 [4407929608d945ae],43.1556,-0.276846,225 - Fm3m,cF16,"[API, Out, JSON ]"
Ge1Mg2 [c3369be780358d85],50.6722,-0.307935,225 - Fm3m,cF12,"[API, Out, JSON ]"
Ge1O3Pb1 [4d366e7f1db50794],157.483,-1.55593,221 - Pm3m,cP5,"[API, Out, JSON ]"
Ge1O8Zr3 [ffc164090dfb5472],197.862,-3.21713,121 - I42m,tI24,"[API, Out, JSON ]"
Ge1P1 [a568f1b0e4ca73fe],76.484,0.018297,107 - I4mm,tI4,"[API, Out, JSON ]"
Ge1Se1 [736d8e730dd9c794],62.1889,-0.217643,225 - Fm3m,cF8,"[API, Out, JSON ]"
Ge1Te1 [31d2c50b7eb85972],49.0222,-0.0769185,225 - Fm3m,cF8,"[API, Out, JSON ]"
Ge2 [4d8d11cb2d8457a7],61.4778,0.000506,227 - Fd3m,cF8,"[API, Out, JSON ]"
Ge2 [253b629a6a736677],71.6949,0.230692,141 - I41/amd,tI4,"[API, Out, JSON ]"
Ge2Ho2 [9fd68ea503ecff44],82.6787,-0.870075,63 - Cmcm,oS8,"[API, Out, JSON ]"
Ge2Li4O6 [f098f75fcd178563],69.7235,-2.1856,36 - Cmc21,oS24,"[API, Out, JSON ]"
Ge2Mg2O6 [1962ff1173e55191],161.802,-2.24633,63 - Cmcm,oS20,"[API, Out, JSON ]"
Ge2Mg4 [a22f82b2c1f85244],41.2556,0.185752,227 - Fd3m,cF24,"[API, Out, JSON ]"
Ge2Mg4O8 [bfa78171be19e02f],158.111,-2.58001,227 - Fd3m,cF56,"[API, Out, JSON ]"
Ge2Y2 [ebfb7133a161759b],78.3259,-0.898435,63 - Cmcm,oS8,"[API, Out, JSON ]"
Ge3Li3Y3 [f91247b7cb6550a5],60.5342,-0.738993,189 - P62m,hP9,"[API, Out, JSON ]"
Ge3O9Sr3 [1bcd81bf7bd067f5],57.6448,-2.46609,189 - P62m,hP15,"[API, Out, JSON ]"
Ge4 [b962425ef6071451],62.3675,0.0186212,194 - P63/mmc,hP4,"[API, Out, JSON ]"
Ge4Hf2 [6405f75405bd1e6d],121.109,-0.474648,63 - Cmcm,oS12,"[API, Out, JSON ]"
Ge4Hf6 [3e2391ad165f4246],134.783,-0.698528,127 - P4/mbm,tP10,"[API, Out, JSON ]"
