formula,target,enthalpy
B2Zr1,238.24599999999998,-5.4522900000000005
B48,156.591,-6.53958
B4C4Ca2,132.609,-2.93995
B4C4Y2,171.47299999999998,-2.9776
B6Ba1,143.861,-6.14502
B6Ca1,143.47799999999998,-6.14502
B6Ho1,169.761,-6.12204
B6K1,133.77200000000002,-5.76377
B6Sr1,146.361,-6.18698
B6Y1,171.24400000000003,-6.136419999999999
B8Be4C8,193.66,-2.77901
Ba1,8.37778,0.017794
Ba10Sb8,27.7227,-1.15634
Ba1C2,41.0331,0.0959353
Ba1Cl2,29.2,-2.5798
Ba1Hg1,24.0,-0.526864
Ba1Li1P1,37.4517,-0.905739
Ba1Li1Si1,27.5433,-0.17893599999999998
Ba1Mg2Si2,49.7584,-0.33683
Ba1Mg4Si3,52.4247,-0.280098
Ba1O1,69.0889,-2.69896
Ba1O2,68.0023,-2.1446400000000003
Ba1O3Pb1,80.89165,-1.3985625
Ba1O3Zr1,147.567,-3.49221
Ba1Se1,37.275,-1.9512399999999999
Ba1Te1,30.086100000000002,-1.7074349999999998
Ba2,8.42265,0.013797
Ba2Be26,89.4444,0.0416521
Ba2Bi2O6,107.411,-2.06523
Ba2Bi3,31.7497,-0.773238
Ba2C8O8,46.228,-1.3866100000000001
Ba2Hg1,15.9586,-0.37688699999999997
Ba2Li2P2,39.4235,-0.939219
Ba2Li2Sb2,29.9651,-1.02439
Ba2O12Te4,73.3669,-1.8318599999999998
Ba2O2,66.7786,-2.67251
Ba2O4Zr1,107.133,-3.29028
Ba2Si46,76.3611,0.0396462
Ba2Te4,28.7313,-1.1911100000000001
Ba2Te6,22.8583,-0.883601
Ba2Tl4,26.449,-0.388781
Ba3Bi3Na3,24.2806,-0.7806960000000001
Ba3Cl6,32.2884,-2.54933
Ba3Na3P3,34.048,-0.802864
Ba3O1Pb1,34.4222,-1.44356
Ba4Ca4Ge4,30.316,-0.585432
Ba4Ca4Pb4,24.9434,-0.595583
Ba4Ge8P8,48.2724,-0.5368390000000001
Ba4Hg8Tl8,29.8276,-0.323393
Ba4Sb2,23.5643,-0.935357
Ba4Si8,52.5056,-0.34521
Ba6C60,72.9819,0.165498
Ba6Ge10,36.6308,-0.55143
Ba6Mg23,24.8222,-0.07857180000000001
Ba6O10Si2,73.9944,-3.10045
Ba6P8,33.8768,-0.997041
Ba6Pb10,26.8549,-0.505868
Ba6Si46,76.6944,-0.086886
Ba8Bi6,25.0778,-0.9244610000000001
Ba8Ge4,22.0405,-0.491142
Ba8Si4,22.305,-0.31049699999999997
Ba8Si46,72.9111,-0.10782699999999999
Be1O1,224.414,-2.73559
