formula,target,enthalpy
Si8Sr4,58.0722,-0.36191100000000004
Sr1,11.1778,6.1e-05
Sr1Te1,33.975,-1.62649
Sr1Tl1,26.3667,-0.432435
Sr2,11.6072,0.0025559999999999997
Sr2Tl4,28.2712,-0.340373
Te1Y1,60.5444,-1.31002
Te1Zr1,95.1389,-0.9014719999999999
Te2,49.0778,0.0426415
Te2Zr2,91.81184999999999,-0.7359545000000001
Te4Y2,57.1402,-1.1633799999999999
Te4Zr4,91.4831,-0.8749889999999999
Tl1,29.6552,0.019456
Tl1Y1,54.4722,-0.374189
Tl3Y1,46.4056,-0.23392399999999997
Y2,41.5471,-0.0005895
Zr2,94.65799999999999,-0.00017549999999999998
